Cargo,Empresa,Local,Link
Junior Python Backend Developer / R + D - Remote Work,BairesDev,,https://br.indeed.com/rc/clk?jk=e584562a7bd71a63&bb=MRL0TiVsD9-dlhOfHZOUakMUdv25GgnySZap3GPurVDnFHXkk3SQjySNUDxEc7b1AV4ZAFF6YuklC6C3f28DzqtRKcxkV2Dxo3n6ifvfOuxLllCmEI-5-cfdxVE6Qy7M&xkcb=SoDn67M39wuZYcgLBj0BbzkdCdPP&fccid=29707109e86166e5&vjs=3
Pessoa Desenvolvedora Python - Trabalho Remoto,BairesDev,,https://br.indeed.com/rc/clk?jk=542931b567264df3&bb=MRL0TiVsD9-dlhOfHZOUail9CG4dRKuQx7_tXKTG-jYNJOZbp1pjqSLT6cStFcFS_yvQa4qP5BtGCsGqBtbno0_llQobvkqNNTZ25Dxvn2AZ440PAIK0WlBiGfR3bw5x&xkcb=SoBT67M39wuZYcgLBj0AbzkdCdPP&fccid=29707109e86166e5&vjs=3
Pessoa desenvolvedora Python Pleno,VENHA SER #SANGUELARANJA,Home Office,https://br.indeed.com/rc/clk?jk=771e017cdfa7b370&bb=MRL0TiVsD9-dlhOfHZOUakMUdv25GgnyLeVOVC2O4MWFk7XXSK3j9YruQzzIJMJZx7heBVvoa_nTLiRXwhIa_gFlluTbWZ1EWvQRgt_le5oR4HCvRtEFuqsWyo84YOJvxS5LMLInYtA%3D&xkcb=SoDd67M39wuZYcgLBj0HbzkdCdPP&fccid=6a5f5525abe44fdf&vjs=3
Pessoa Estagiária - Financeiro,Oportunidade Mercado Bitcoin,Home Office,https://br.indeed.com/rc/clk?jk=03495ba18ecd5248&bb=MRL0TiVsD9-dlhOfHZOUaqyvy8otJiiRRRjpzPFM9vr49UUvKcqR3SI8-4-DX2lASP8uuGJGKhrpbQYL84fGd0UC6GXwxeyKn0VJ_kBPyQ1ULX9r_uQVPvyI7mri2Y-4&xkcb=SoBp67M39wuZYcgLBj0GbzkdCdPP&fccid=f12fd580c85357c2&vjs=3
Staff Software Engineer - Python/Rust,Xometry Inc,,https://br.indeed.com/rc/clk?jk=5af39bcfd318d7d2&bb=MRL0TiVsD9-dlhOfHZOUat07JawPWcEybbYP7xL0BO5d-XJZLOWFJXJ20Vr_6X4hVqwrJxc7KM1xqHW-5jx7I3CR1tMtxr_Zus4uq2qMpwmmcjl80AGk2pDkd23Qku8q&xkcb=SoD067M39wuZYcgLBj0FbzkdCdPP&fccid=5b7c51fa0a062333&vjs=3
Pessoa desenvolvedora Python Pleno,VENHA SER #SANGUELARANJA,Home Office,https://br.indeed.com/rc/clk?jk=771e017cdfa7b370&bb=-VFq-92uc822_57TR2sj7Dbw-nOo-XEVp-9ZFa8ymsr2OB-JbxCWBBngU-zW6kpuPKPudIFam5bwRIGEaqy6f_4NpqzLF0cTPMG-il77kwme-eKReM4Wqk0MJwtQxifD_c846vaBqB0%3D&xkcb=SoBV67M39wuYsMwdwR0LbzkdCdPP&fccid=6a5f5525abe44fdf&vjs=3
"AI Trainer for Portuguese Writers (Freelance, Remote) BR",Alignerr,Home Office,https://br.indeed.com/rc/clk?jk=6bd88114d2731350&bb=-VFq-92uc822_57TR2sj7O9iL_DiJfLvt_A6gtSyXgGL7Rv4mg431U6dbtKcRqD1vpwYO4mxaA8TyapySgTZehR3eUrdIKX0Qf5FuSTJctPbts3GpXtRJIOC5-m6lN6WVnEkGm4SdM0%3D&xkcb=SoDh67M39wuYsMwdwR0KbzkdCdPP&fccid=a65f0fe5d97d4265&cmp=Alignerr&ti=Freelance+Writer&vjs=3
Mid Backend Developer - Python - (100% Remoto),invillia,Home Office,https://br.indeed.com/rc/clk?jk=e7fe34b49231a615&bb=-VFq-92uc822_57TR2sj7P5qmrZWj_66giev7O3dHLta3fEqQEMD4lbndHEG7suDnjDRGRHknWz7mfdILn4G9C8vNYyOio1jSPpIRqoGKywFhPH1km2zpIIHrHyILclu&xkcb=SoB867M39wuYsMwdwR0JbzkdCdPP&fccid=f185a6210cec2dc0&vjs=3
Desenvolvedor(a) Backend Pleno | Python,Agriness,Home Office,https://br.indeed.com/rc/clk?jk=01590ccd4abac89d&bb=-VFq-92uc822_57TR2sj7CPZMFKeyOX9jKVfjlnKm_Y7t0ZBqIBzFqsm8xlLEQa9AAQ7Jh0D9MWYATEJG_9BKWrseh-uqK_2obLBimiQZGQ5fQ1xxNv1QLEjf2FpssX0&xkcb=SoDI67M39wuYsMwdwR0IbzkdCdPP&fccid=e128db7eeb535474&vjs=3
Desenvolvedor(a) Fullstack (Python / Vue.js),Omie,Home Office,https://br.indeed.com/rc/clk?jk=2b66aa5dd29b4692&bb=-VFq-92uc822_57TR2sj7OrJoKErt58AvOiJtGkCTklN0vD473wFU0kvsyQhv1Ul4CAFlZ5elm8J-cdggQ13FpezQOF4fo2riXx56N1dHCBcOGf2HyT303J9aPdGNT-7&xkcb=SoBG67M39wuYsMwdwR0PbzkdCdPP&fccid=8c41bce32884422c&vjs=3
Pessoa Especialista Python,Maitha Tech,Home Office,https://br.indeed.com/rc/clk?jk=756d9e25b27a7dad&bb=-VFq-92uc822_57TR2sj7OW0cvegbxudJLPGvzAY53yfPHZkG2PYcCRe-Ze1I-0waMzLigwj9KQKiC3MM1touWvVJl8vgVsf4rmv-rb0p82PlJvsFuFzVgCrYEO6MRA2&xkcb=SoDy67M39wuYsMwdwR0ObzkdCdPP&fccid=7b873ca4c81f844c&vjs=3
Estagiário Python (Híbrido),XEFF SISTEMAS,Anunciada há mais de 30 dias,https://br.indeed.com/rc/clk?jk=8172acfbc5c61cdc&bb=-VFq-92uc822_57TR2sj7CPZMFKeyOX9Guw_nJYoEy0mvhkcz8YUZ307yLPLVv6DbDTDOUwAJgKtNx8pUEggHa_Y3T9nf56prXQ72zHcjx3xFofgqVUpL2qpVFFOwvJu&xkcb=SoBv67M39wuYsMwdwR0NbzkdCdPP&fccid=eaa7324caafd6f1d&vjs=3
Pessoa Estagiária de Dados,Programa de Estágio - Incluir Gupy,Home Office,https://br.indeed.com/rc/clk?jk=3c4d8ff6bf0bdf83&bb=-VFq-92uc822_57TR2sj7Dc9KWL1jXwnJx1v1PtsLTmNrCa-xSNoHsc188dGBdR8PjfKQLYUXp03t68gmxC6950kYAYsQfuCZNDeHDRmOwr16Vnd8w9MgOVNPL-8fifT&xkcb=SoDb67M39wuYsMwdwR0MbzkdCdPP&fccid=1f5978062d66a82c&vjs=3
Desenvolvedor de Software - Python PL,Venha ser um AGente de transformação!,Home Office,https://br.indeed.com/rc/clk?jk=a506521fa9ad14e4&bb=-VFq-92uc822_57TR2sj7GME_3dpwdFpE6ugFUPdssQxIWgzv_ZiC0A0zjf8oskAczGU63IPi6x_AXOWUZrHdAeLK_CLdm4GWr_TS9fazr806cHVDsDrg9Ho8qArF-la&xkcb=SoAy67M39wuYsMwdwR0DbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Desenvolvedor Junior,ANA LEITE CONSULTORIA E GESTAO LTDA,Anunciada há mais de 30 dias,https://br.indeed.com/rc/clk?jk=79f5acab2b8ce21f&bb=-VFq-92uc822_57TR2sj7OU3PvF2AbnaJoyjGZ-8Su0XU2mxDv2IMlvZpgmq2n7amnYty5FRjD9IxGskQ7tQujBkvaxrGCiHaCMNsk74dR2aXBFUh979TTbjDGGsgasm&xkcb=SoCG67M39wuYsMwdwR0CbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Sr Backend Developer - Python - (100% Remoto),invillia,Home Office,https://br.indeed.com/rc/clk?jk=e5f1fd1be11df687&bb=-VFq-92uc822_57TR2sj7Abz03poAbufVAW7tJrfzM3bL8FCEkANg2iAzyWEK0NeaKNpYPvMueccM1_erBUx6IUzmgO7pN0WgCy8st8nvBuyWEXxSfnFoZG1bn0skUsq&xkcb=SoAb67M39wuYsMwdwR0BbzkdCdPP&fccid=f185a6210cec2dc0&vjs=3
Arquiteto Python - Trabalho Remoto,BairesDev,,https://br.indeed.com/rc/clk?jk=96ae5461ec899ee3&bb=-VFq-92uc822_57TR2sj7AkKSfONv39AHQ4o2TDLxGar2qOmeJl6UHNEv9DNnaE_CQ0NkoQqDR3XyQDcRRZEiSzGfr0IFUFpx657FncjRtvuCXcI9_Bvw7GzS05byqyC&xkcb=SoCv67M39wuYsMwdwR0AbzkdCdPP&fccid=29707109e86166e5&vjs=3
Desenvolvedora/Engenheira Python - Trabalho Remoto,BairesDev,,https://br.indeed.com/rc/clk?jk=c878a6d486fcccc2&bb=-VFq-92uc822_57TR2sj7B-jZzFSpNTEiHoKUj2zfNS5Oj8p8vcv1GjLpFGueQgCuSKnJjWq7MTq6qKXoi328v--p9pi5i3o0hyCxsPFr4GxI_uo3itSghqVJ2FNfN2E&xkcb=SoAh67M39wuYsMwdwR0HbzkdCdPP&fccid=29707109e86166e5&vjs=3
Desenvolvedor Python - Trabalho Remoto,BairesDev,,https://br.indeed.com/rc/clk?jk=d08490f84b34c926&bb=-VFq-92uc822_57TR2sj7FWncP1_VAjAwizLB6G8_4cftJfkTDJOGTegHwwj0v0hN4LACRqvLbnNmAwewPE037ZOgCjY6FcDSZsVuZvO-_VAAXXasTNjamcz8q7mAjO7&xkcb=SoCV67M39wuYsMwdwR0GbzkdCdPP&fccid=29707109e86166e5&vjs=3
Instrutor(a) Data Science - (Part time),Ada,Home Office,https://br.indeed.com/rc/clk?jk=64c211ad69870db9&bb=-VFq-92uc822_57TR2sj7AkKecfzFDfOrBZAHWGtG-FZewkBKKRQyucvCO-8S_6I-8iBcgIlpmMJaI8VZDXCc_XdkXfhvbZvNuVb2Ck-X9eP9xrEDM8_LHcMH47zf6pN&xkcb=SoAI67M39wuYsMwdwR0FbzkdCdPP&fccid=7e57cdf2421c627a&vjs=3
Pessoa Especialista Python,Maitha Tech,Home Office,https://br.indeed.com/rc/clk?jk=756d9e25b27a7dad&bb=rvShT8wsiI5A3klgHfypbve2Gdz-mwCjmlFU216EktOuEB7jsl0ynYzB8bRzDmDhBDE8dflGe2fo_numuJGjaXPoauM0PjXGM1nJxIQbGAXPyy9yGLa-QcM8mQ38H2Ox&xkcb=SoC_67M39wuXsUzbjZ0LbzkdCdPP&fccid=7b873ca4c81f844c&vjs=3
"Partner Engineer, YouTube (English, Portuguese)",YouTube,,https://br.indeed.com/rc/clk?jk=c93ba4ea97c6cd98&bb=rvShT8wsiI5A3klgHfypbp_vrAxm0WnMaUFmzzsdyGf1yYyz70uzSHIbOBq_HXGMaA7h6fVdQwDMBsXcYjEr6OHEDQ8fLcv1TBwfw6MaI-oZhROjHIRKOQ%3D%3D&xkcb=SoAL67M39wuXsUzbjZ0KbzkdCdPP&fccid=a9021c35fcef6968&vjs=3
Ringa-4945625/24-1 - desenvolvedor back end python junior,Netvagas,,https://br.indeed.com/rc/clk?jk=269234939c72e4d4&bb=rvShT8wsiI5A3klgHfypbiPbm9BfUoBfV5lnwmidPPn6EnawynSnYFoUg4yKJIUnnQoxsIT5xZx3ODKzsFX3LnqmXrGJftRD9gbKVA0IKrbGkCLH_cuyINtzVmP_ODlu&xkcb=SoCW67M39wuXsUzbjZ0JbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Desenvolvedor Python,GOL Linhas Aéreas,,https://br.indeed.com/rc/clk?jk=5addc30d2756e4cf&bb=rvShT8wsiI5A3klgHfypbtMcfRLWwXsl8x9MaYN3Z2PNzfD-TR4sfoO1p5U4D0ekFgyLim1Bu6QDMrKDvkcmPojRk9oQNc9hJx2Obh3tK_gwjRw6WskfRuNycqr6LYvq&xkcb=SoAi67M39wuXsUzbjZ0IbzkdCdPP&fccid=268ec8086cc786f5&vjs=3
Analista de Dados Júnior,Comerc Energia,Home Office,https://br.indeed.com/rc/clk?jk=81ea9111e213beec&bb=rvShT8wsiI5A3klgHfypbv68re0yFaWidCnz52ba5tIBhFxJeSLZEgqTzCDtb6BOCBMmJ_HFBgbLAIShaRWAL6nLaZ-GefgA45PNUV8mn1HQfvCDnawqLHV4WYqVhtTkw8sl_cNn4rs%3D&xkcb=SoCs67M39wuXsUzbjZ0PbzkdCdPP&fccid=7c0bf1a88776eb43&vjs=3
Pessoa Desenvolvedora Fullstack Python,Shopee,,https://br.indeed.com/rc/clk?jk=42bec1fc444794c5&bb=rvShT8wsiI5A3klgHfypbtvE1lMubpSzj_JJISI3uOEEZCHL1RFsMpIwRi5h8s5JKJnmd_UbK4uWEkmN2SUdRBxmxiGc7_Az8YfypXBVv9y5KY0onMYVjZJIqqUqMg8A&xkcb=SoAY67M39wuXsUzbjZ0ObzkdCdPP&fccid=0b476c4a7add47fe&vjs=3
Arquiteto Python - Trabalho Remoto,BairesDev,,https://br.indeed.com/rc/clk?jk=96ae5461ec899ee3&bb=rvShT8wsiI5A3klgHfypbqAg6NLaRS1M8qA6yQ_iHMPx4OJBY2fW-hy9A-4d2RMSosVz0bZQx2fjlMj0y6Aeo2Fd-eO08OR-Fd3uMttOtX7KFomA8S7Wtfkt6eAJ2MBi&xkcb=SoCF67M39wuXsUzbjZ0NbzkdCdPP&fccid=29707109e86166e5&vjs=3
Estágio em Tecnologia,Quod,Home Office,https://br.indeed.com/rc/clk?jk=f77596899fe46827&bb=rvShT8wsiI5A3klgHfypbkL-jh4jU8m1ctcLb12xvxE5Ugl4zrQUejgf3lKvdX3Hiss-wOKeZzG56Hr6-2Ae4d8y2DZ6NMOHtAmNFiMZBFf5tFtEpe-BPkoQFLwkCWs0&xkcb=SoAx67M39wuXsUzbjZ0MbzkdCdPP&fccid=c27e202ff27e56c9&vjs=3
Desenvolvedor Python - Trabalho Remoto,BairesDev,,https://br.indeed.com/rc/clk?jk=d08490f84b34c926&bb=rvShT8wsiI5A3klgHfypbihXvi3j-8U4kPkdiix3xaNI0oo4zSlXoz2Itmeo430UFM5hsu0Sd_yn2X8oyFxeG4iUpKgB6_Ox5ErZL_nS_pCWi3AoFjfJ_0_K0828VrWW&xkcb=SoDY67M39wuXsUzbjZ0DbzkdCdPP&fccid=29707109e86166e5&vjs=3
Pessoa Backend Especialista em Python,Zup Innovation,Home Office,https://br.indeed.com/rc/clk?jk=2431a2c8ecd68e40&bb=rvShT8wsiI5A3klgHfypbgPlwx6d1tg5qDWSq-6f2l6Hhn5B_00dnM7OfZOsrIuELdLjBVorPIJ8LzfV0EoQY9xQRUZ5tHrLNR5CXyw8yOpNyd3MNL-4PMR9PFe6ne0o&xkcb=SoBs67M39wuXsUzbjZ0CbzkdCdPP&fccid=286575ef2237b3c9&vjs=3
Sr Backend Developer - Python - (100% Remoto),invillia,Home Office,https://br.indeed.com/rc/clk?jk=e5f1fd1be11df687&bb=rvShT8wsiI5A3klgHfypbrFKHHXXEQjmwU943Ru4HOYNeOYcw58p4X4tzHSwgaDyPTAN5MjsezzCHe4i47O1d_igQUGaxjCi5wxe9oUSahKFZFCvxmK3lIkLvuKsv54v&xkcb=SoDx67M39wuXsUzbjZ0BbzkdCdPP&fccid=f185a6210cec2dc0&vjs=3
Instrutor(a) Data Science - (Part time),Ada,Home Office,https://br.indeed.com/rc/clk?jk=64c211ad69870db9&bb=rvShT8wsiI5A3klgHfypbqf_7S5V3QcgPd8jNQyEYEBZKvZW1SypbK374SWZqFbLxQ8X5B3f072PlK6RTWrrOgx5KAz5hx4UHGmnfezU6G1cik12k59QJ3SecF9kykd9&xkcb=SoBF67M39wuXsUzbjZ0AbzkdCdPP&fccid=7e57cdf2421c627a&vjs=3
Estágio em Desenvolvimento de Software,Radix Engenharia e Software,Home Office,https://br.indeed.com/rc/clk?jk=4604e03bba2405a2&bb=rvShT8wsiI5A3klgHfypblpmaglA-WNkWvA1l0e6mUS9oXAoW2Y26k7A8lmIV4QKuH2rBurZ1gT-q4qkc0UkVnugKN707E-W4ufgB2grV3wz3CrcmiwcXOG6wv76Met4&xkcb=SoDL67M39wuXsUzbjZ0HbzkdCdPP&fccid=833e800ebc6f3f29&vjs=3
Havan Labs,Havan Labs - Tecnologia,Home Office,https://br.indeed.com/rc/clk?jk=4cdc96d3ad51812b&bb=rvShT8wsiI5A3klgHfypbjPE_-KBf3JLIo6ALTWWEPoSmwMbMwFlCiuQ09gs71PV6nita5W3nySyyPC08gi95lnp-tTuhnhul-4r4y6-99CERp8KTAd0jXDJ9d5zx6Sx&xkcb=SoB_67M39wuXsUzbjZ0GbzkdCdPP&fccid=5ba0a680c4a2acb9&vjs=3
Pessoa Desenvolvedora Python (Foco em LLM),Alura,Home Office,https://br.indeed.com/rc/clk?jk=99a91d5ba24f4433&bb=rvShT8wsiI5A3klgHfypbqf_7S5V3Qcg5CktBjlVzIy0ZsvWLiETd4F_gp20_dnG7wpN38B6pnvtqar0jb6XF894JhSKu6Ith9M4FKo98Se3SnEUUANPI7oaOPidbWiP&xkcb=SoDi67M39wuXsUzbjZ0FbzkdCdPP&fccid=0d65f4a026b9f4fd&vjs=3
Estágio em Hiper-automação,Build IT,Anunciada há mais de 30 dias,https://br.indeed.com/rc/clk?jk=af34fe496e1b4c99&bb=xaHgQMX8foTFJOIPvBRNSx6UUSCGU85Mw8w99ylroNtjkDPRmikRZCSW6XT8SmsBIz1HkU9Q0EOrthWnsEGkw-PZ_mBNixrdKuouRpOpCF7Td-RoEiFEH8z6ah83bOkx&xkcb=SoDX67M39wuXMFzxWZ0LbzkdCdPP&fccid=82440f4acc16c69b&vjs=3
Estágio em tecnologia,Netvagas,Home Office,https://br.indeed.com/rc/clk?jk=994d91d8772f4308&bb=xaHgQMX8foTFJOIPvBRNS5Hld9qGmcnqbqFJquVVhoHJpMgyJ72xZIcQNXMarJqDlBvWFDNpqJvLbPLi9M-zlPPByQ3Q7-zOSOIl4z-8IRs5-4Bk37v-Ozfzn4qdLDT_&xkcb=SoBj67M39wuXMFzxWZ0KbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Pessoa desenvolvedora python (foco em llm),Netvagas,Home Office,https://br.indeed.com/rc/clk?jk=ff26ed3ed4230753&bb=xaHgQMX8foTFJOIPvBRNS6UAdgvJ3nU2l5edFlf1iWdhXGdPkGhuyVg715tErjKuugskuoKjCu54FcMiOiNb6ZAVJlsKF5PjEQvAW0OHL0-dRiJ69IifP-0LNWzlHoCV&xkcb=SoD-67M39wuXMFzxWZ0JbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Desenvolvedor Web Full-Stack Júnior,#SejaShopper,Home Office,https://br.indeed.com/rc/clk?jk=be4bb1500c01f18d&bb=xaHgQMX8foTFJOIPvBRNS41TOksaSZwWUzsCVZaF2YYn15Ck0tC4_zrz-91JyEcJm_u-jUuqQWN7q0yXr1q-5fsKKYQV87YGURkaNjwUo4zis-unTe-DnVkC9ye9dkGT&xkcb=SoBK67M39wuXMFzxWZ0IbzkdCdPP&fccid=8a6a593e20ed525c&vjs=3
Engenheiro de Software,Big Data,Home Office,https://br.indeed.com/rc/clk?jk=648b7cb4e59816f2&bb=xaHgQMX8foTFJOIPvBRNSyN75L4jZm9TBnchJ-nghKG78AIIg37bnsRTcnQpkTe3YjmYH7agk3zf9YHTys9EsUZ_FuRGP6olhenmn9yLtm5cI8uitvCOG13QW7qKrk_i&xkcb=SoDE67M39wuXMFzxWZ0PbzkdCdPP&fccid=1cd40d642f183854&vjs=3
Desenvolvedor em Inovação - Junior,ICI – Instituto das Cidades Inteligentes,Home Office,https://br.indeed.com/rc/clk?jk=9cba41c3b44a36a7&bb=xaHgQMX8foTFJOIPvBRNSzjqxH8Gac6lzfv-jphlqlqTOqhypuq_J-vIjZdNDUMbHEYIJ9J-u9vFEuhs35w5C5lLvNaqYaMCfgXgSaJx-UxkM4AE45P5vWHyA3nF56hi&xkcb=SoBw67M39wuXMFzxWZ0ObzkdCdPP&fccid=9f6cd73e9b647591&vjs=3
Pessoa Desenvolvedora .NET + VB,T10,Home Office,https://br.indeed.com/rc/clk?jk=b42d407b322b0e21&bb=xaHgQMX8foTFJOIPvBRNSzXWtDL0GiQbCgac7Rmq40NHiXhkHpwDO2ZNmsn6DcdIVgXY9ddlet16T5nHr2lzkD3J6R2C6oOLhw2ObcIVO0sFTPUVxqXwKDedgQ1ezWq8&xkcb=SoDt67M39wuXMFzxWZ0NbzkdCdPP&fccid=b5f8d65fd6206d17&vjs=3
Machine Learning Engineer,MOST Specialist Technologies,Anunciada há mais de 30 dias,https://br.indeed.com/rc/clk?jk=b9cfa279e2717ec1&bb=xaHgQMX8foTFJOIPvBRNSyDKpA9_Aun56ajw2njc5mg6ALwJ55RB4MR9QGpqA7MZs4_efnKTGTUvfqtb4v1iM8wBmKe4F7Zypf-pMhh3jdQpNXZWhV0iz9Bhhex2Xo-F&xkcb=SoBZ67M39wuXMFzxWZ0MbzkdCdPP&fccid=164a79a2d47e57e3&vjs=3
Backend Python Developer,Oowlish,,https://br.indeed.com/rc/clk?jk=5a561a4e2e32d583&bb=xaHgQMX8foTFJOIPvBRNSxmsOOWIlS74CfGHc7icmaup1FHNOi3GPOpAInkEulB_g9Q78GchOT5iXdZg2m8dYJTYtXpSi93w-QKVyKymufzSG6K8QRAaB6L00WaXtkGb&xkcb=SoCw67M39wuXMFzxWZ0DbzkdCdPP&fccid=0271e2481fb4cba7&vjs=3
QA Automation Analyst - REMOTO,#sejaveriter,Home Office,https://br.indeed.com/rc/clk?jk=818ac45144caaabc&bb=xaHgQMX8foTFJOIPvBRNS_OPxlYH9RAIZS1NEymm2-NjHY_ypHvFMudotuuyYQ0V5u5mQRNNcTtsJWWjOOg8Kpa5CNubSYtbtObInXU6EeZd3isvN4btLg%3D%3D&xkcb=SoAE67M39wuXMFzxWZ0CbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Pessoa Dev. Backend Python (+. NET and AWS),Zup Innovation,Home Office,https://br.indeed.com/rc/clk?jk=a3f29fd7afe69ba2&bb=xaHgQMX8foTFJOIPvBRNS4aTPoQ2aHAPKpQfLGJelhh9jP8CqB7a-AoQax6tXnlNDrKmd6qXw3Dq9yHpPeDM-VLQXIEONhRk8BnF_Xj5C0dOCbknFwwhr8yQOQp8G5M4&xkcb=SoCZ67M39wuXMFzxWZ0BbzkdCdPP&fccid=286575ef2237b3c9&vjs=3
Coordenador de Analytics Engineering,"Vagas, empregos, oportunidades",Home Office,https://br.indeed.com/rc/clk?jk=0487832290fd6e72&bb=xaHgQMX8foTFJOIPvBRNS-Z6S49NroAAA7Lj6QwCTrWokpJQTqbHxdSeLkOqSCOOjsMaoGm2O0Fw4iivvMlbv9tLpYm7u6DQZbDO895ccPL103cqeFMtwYUX9AhzlIFG&xkcb=SoAt67M39wuXMFzxWZ0AbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
